date,mktrf,smb,hml,rmw,cma,rf,umd
05/10/2018,-0.006400,-0.004100,0.003900,-0.003800,0.004200,0.00008,0.000700
08/10/2018,-0.001700,-0.002400,0.012200,0.005200,0.006400,0.00008,-0.012500
09/10/2018,-0.001800,-0.004100,0.002800,-0.005100,0.002100,0.00008,0.004500
10/10/2018,-0.033300,0.004100,0.011200,0.002100,0.007900,0.00008,-0.016200
11/10/2018,-0.019600,0.003700,-0.009100,0.004300,-0.005500,0.00008,0.004400
12/10/2018,0.013800,-0.011100,-0.017400,0.000700,-0.004300,0.00008,0.017700
15/10/2018,-0.004800,0.010000,0.005100,0.003700,0.004900,0.00008,-0.009700
16/10/2018,0.022400,0.005600,-0.014300,-0.002400,-0.006900,0.00008,0.010000
17/10/2018,-0.000800,-0.006100,0.002600,-0.002500,0.001700,0.00008,-0.001900
18/10/2018,-0.015400,-0.005200,0.004300,-0.003400,0.003700,0.00008,-0.001400
19/10/2018,-0.002500,-0.012700,0.007200,0.004500,0.005600,0.00008,-0.005400
22/10/2018,-0.003800,0.003600,-0.012500,0.011000,-0.001700,0.00008,0.012400
23/10/2018,-0.006200,-0.001800,-0.004200,0.001000,-0.001000,0.00008,-0.003600
24/10/2018,-0.033300,-0.008300,0.007800,0.003100,0.012500,0.00008,-0.004400
25/10/2018,0.019300,0.003100,-0.005900,-0.001900,-0.010800,0.00008,0.010300
26/10/2018,-0.016500,0.005900,0.003500,-0.003500,0.005000,0.00008,-0.001400
29/10/2018,-0.007700,-0.001000,0.016100,-0.000100,0.009700,0.00008,-0.011200
30/10/2018,0.016600,0.004500,0.000700,0.003700,0.003200,0.00008,0.000300
31/10/2018,0.012200,-0.007000,-0.007200,-0.004000,-0.009500,0.00008,0.007700
01/11/2018,0.012900,0.012200,-0.011400,-0.002400,-0.004900,0.00008,-0.009800
02/11/2018,-0.005300,0.008500,0.006700,-0.004700,0.002200,0.00008,-0.001300
05/11/2018,0.004000,-0.008800,0.015600,-0.004900,0.007600,0.00008,-0.001200
06/11/2018,0.005800,-0.001500,0.000300,0.003000,0.002000,0.00008,-0.001000
07/11/2018,0.021100,-0.005100,-0.010600,-0.003900,-0.008100,0.00008,0.017000
08/11/2018,-0.002800,-0.001700,0.002500,0.003900,0.003300,0.00008,0.004300
09/11/2018,-0.010400,-0.008500,0.004200,0.006300,0.006600,0.00008,0.000400
12/11/2018,-0.020600,0.001000,0.008500,0.005300,0.008800,0.00008,-0.002600
13/11/2018,-0.001300,-0.000500,0.001600,0.002200,-0.003000,0.00008,-0.009100
14/11/2018,-0.007700,0.000300,-0.002800,0.005900,0.001000,0.00008,-0.006700
15/11/2018,0.011800,0.003100,-0.004100,-0.008200,-0.007000,0.00008,0.006200
16/11/2018,0.001500,-0.000100,-0.000600,-0.007800,0.001800,0.00008,0.000600
19/11/2018,-0.018800,-0.003900,0.023000,0.002000,0.012300,0.00008,-0.010200
20/11/2018,-0.018500,0.000300,-0.005400,-0.003700,-0.003100,0.00008,-0.007100
21/11/2018,0.005100,0.009500,-0.003400,-0.003400,0.000100,0.00008,-0.001900
23/11/2018,-0.005500,0.007600,-0.006000,0.002900,-0.000600,0.00008,0.000800
26/11/2018,0.016200,-0.006900,-0.002000,-0.004100,-0.007200,0.00008,0.001100
27/11/2018,0.001100,-0.010600,0.002600,0.006000,0.001300,0.00008,0.005700
28/11/2018,0.024200,0.003100,-0.011700,0.000700,-0.009300,0.00008,0.009900
29/11/2018,-0.002200,-0.002000,-0.001000,-0.004900,0.000400,0.00008,0.002800
30/11/2018,0.007800,-0.003800,-0.004300,0.002400,-0.002700,0.00008,-0.002800
03/12/2018,0.011300,-0.001000,-0.008100,-0.002400,-0.005500,0.00011,0.002300
04/12/2018,-0.034500,-0.010300,-0.001900,-0.001400,0.009500,0.00011,0.006700
06/12/2018,-0.001600,-0.000600,-0.010500,0.001500,-0.003200,0.00011,0.005000
07/12/2018,-0.023600,0.002700,0.013300,-0.004700,0.006300,0.00011,-0.005300
10/12/2018,0.001000,-0.003600,-0.016200,0.002800,-0.003100,0.00011,0.007500
11/12/2018,-0.000800,-0.001500,-0.004200,0.001700,-0.000700,0.00011,0.007300
12/12/2018,0.006800,0.005000,-0.001900,-0.002300,-0.000900,0.00011,-0.000500
13/12/2018,-0.002600,-0.015500,-0.001900,0.002000,0.000400,0.00011,0.004900
14/12/2018,-0.018900,0.000900,0.005100,-0.002100,0.006200,0.00011,-0.005000
17/12/2018,-0.021400,-0.001200,0.010800,0.002600,0.001800,0.00011,-0.009700
18/12/2018,-0.000300,-0.000400,-0.006100,0.009100,-0.004700,0.00011,0.002800
19/12/2018,-0.015800,-0.006000,0.000300,-0.003800,0.004200,0.00011,0.006800
20/12/2018,-0.016200,-0.001200,0.009700,0.006100,-0.000800,0.00011,-0.004900
21/12/2018,-0.021700,-0.005300,0.007700,0.001200,0.006500,0.00011,0.003900
24/12/2018,-0.025500,0.009200,-0.004900,-0.003400,-0.003400,0.00011,-0.002100
26/12/2018,0.050600,-0.001900,-0.010100,-0.002100,-0.010800,0.00011,0.000700
27/12/2018,0.007800,-0.007100,-0.001300,-0.001400,0.001100,0.00011,0.002300
28/12/2018,-0.000300,0.007500,0.002600,-0.003700,-0.000600,0.00011,0.001400
31/12/2018,0.009000,-0.001400,-0.004500,-0.000900,-0.001200,0.00011,0.006300
02/01/2019,0.002300,0.007400,0.011200,-0.001200,0.002700,0.00010,-0.022900
03/01/2019,-0.024500,0.004900,0.012000,-0.002300,0.009000,0.00010,-0.007700
04/01/2019,0.035500,0.003600,-0.007000,-0.001100,-0.005900,0.00010,-0.009600
07/01/2019,0.009400,0.008700,-0.007500,-0.007200,-0.004500,0.00010,-0.007700
08/01/2019,0.010100,0.004400,-0.006300,0.003200,-0.000900,0.00010,0.001200
09/01/2019,0.005600,0.005000,0.001000,0.000800,-0.001900,0.00010,-0.008100
10/01/2019,0.004200,0.000000,-0.004600,-0.000600,-0.000400,0.00010,-0.003800
11/01/2019,-0.000100,0.002000,0.002200,0.002300,0.002500,0.00010,-0.002100
14/01/2019,-0.006000,-0.004500,0.009400,0.002400,0.000000,0.00010,-0.006000
15/01/2019,0.010600,-0.001400,-0.008800,-0.003000,-0.005700,0.00010,0.011500
16/01/2019,0.002800,0.002500,0.009200,-0.001100,-0.002300,0.00010,-0.007600
17/01/2019,0.007500,0.000900,-0.002400,0.000600,0.000000,0.00010,-0.002000
18/01/2019,0.012900,-0.002900,0.001200,0.002000,-0.002700,0.00010,-0.008400
22/01/2019,-0.015300,-0.003500,0.003300,0.002600,0.003400,0.00010,0.009400
23/01/2019,0.001500,-0.004100,-0.001400,0.003500,0.002900,0.00010,0.009800
